,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
16,267996,2.02405E+19,15,op,7.45386562,eth,3.82080409,1256388,23.62934999,0x6a231545c7043115721aee545060c6e30923f2d6,13,13,2022/11/24 3:54,2023/8/22 5:25,6257.802785
17,267995,2.02405E+19,14,op,7.45386562,eth,3.82080409,1256387,23.62934999,0x1320b7b673f531af233b6e1a3e455d451598037f,13,13,2022/11/24 4:04,2023/8/22 5:25,6293.362287
18,267994,2.02405E+19,13,op,7.45386562,eth,3.82080409,1247723,23.81846054,0x60fa87c06ba74b0e3b3e404548acdbac4e915692,13,13,2022/11/24 4:08,2023/8/22 5:30,6260.825844
19,267993,2.02405E+19,12,op,7.45386562,eth,3.82080409,1245580,23.86246599,0x39df01f98882f287524e1d3e6e97cf34b499d941,13,13,2022/11/24 4:31,2023/8/22 5:50,6257.637669
20,267992,2.02405E+19,11,op,7.45386562,eth,3.82080409,1244676,23.88366057,0x2e1235fa4565fcc457611aafc97355badff3db64,13,13,2022/11/24 4:42,2023/8/22 5:55,6075.907238
21,267991,2.02405E+19,10,op,7.45386562,eth,3.82080409,1244675,23.88366057,0x9a96058a07e0130ccf3c0edf1e02ae24a4536198,13,13,2022/11/24 4:38,2023/8/22 5:54,5963.346586
22,267990,2.02405E+19,9,op,7.45386562,eth,3.82080409,1239830,23.99079161,0x8da6b96a1ee1572c89a48e961f7ca18b2e144e81,13,13,2022/11/24 4:33,2023/8/22 5:52,6013.103118
23,267989,2.02405E+19,8,op,7.45386562,eth,3.82080409,1232670,24.14424494,0xfc774b2e451006c29edd3ae4255e824d1a6a8c64,13,13,2022/11/24 3:43,2023/8/22 5:22,6013.240554
24,267988,2.02405E+19,7,op,7.45386562,eth,3.82080409,1232669,24.14424494,0x90e32e5a7a255da2d7cd7918d3239aeedd927722,13,13,2022/11/24 3:44,2023/8/22 5:22,5998.726211
25,267987,2.02405E+19,6,op,7.45386562,eth,3.82080409,1230983,24.18187597,0x7706d0993dbd36be60cf5f114cfdb99501ae7178,13,13,2022/11/24 4:32,2023/8/22 5:51,6217.934364
26,267986,2.02405E+19,5,op,7.45386562,eth,3.82080409,1226913,24.27095212,0x9f91cdcfd2e416cb7e655c7b2e594609d51dffa6,13,13,2022/11/24 4:21,2023/8/22 5:46,6260.68228
27,267985,2.02405E+19,4,op,7.45386562,eth,3.82080409,1226912,24.27095212,0x27030882d41d5599d3d69a45bc34d8d52fd7f13c,13,13,2022/11/24 4:24,2023/8/22 5:47,5981.127065
28,267984,2.02405E+19,3,op,7.45386562,eth,3.82080409,1224014,24.33511842,0x79d12a845b2bc169cff874b26afb3e95bdc2fd6f,13,13,2022/11/24 4:28,2023/8/22 5:49,6184.632726
29,267983,2.02405E+19,2,op,7.45386562,eth,3.82080409,1223882,24.33804538,0x7ad2703934f281cd3bfdb31ae41274829f162b6a,13,13,2022/11/24 4:27,2023/8/22 5:48,6005.049084
30,267982,2.02405E+19,1,op,7.45386562,eth,3.82080409,1134266,26.51241555,0x5effede6b2ada4af44d82fe5d12d3ed008f80d6d,13,13,2022/11/24 4:32,2023/8/22 5:50,6161.393988
